_id,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,country.euCode,country.isoCode,country.name
DE,3134,1.0013190305e+10,3.195019242182514e+06,6.410413761436529e+06,0,2.24588486e+08,7.158585469e+09,2.284168943522655e+06,2.9196056977306316e+06,21000,4.0199771e+07,,DE,Allemagne
UK,5178,8.950491764e+09,1.7285615612205486e+06,4.0182597544339476e+06,0,1.77677472e+08,7.117715454e+09,1.3746070787949015e+06,2.4344118327819314e+06,16200,9.3e+07,,GB,Royaume-Uni
FR,2688,6.930669283e+09,2.5783739892113097e+06,6.922016562613975e+06,0,2.80086352e+08,5.14066599e+09,1.9124501450892857e+06,5.55534651104605e+06,23400,2.5e+08,,FR,France
IT,1946,5.386352737e+09,2.7679099367934223e+06,3.8390113615763593e+06,0,5.4124136e+07,3.956250864e+09,2.033016887975334e+06,2.529255765112677e+06,18000,2.998067e+07,,IT,Italie
ES,2406,5.379233127e+09,2.2357577418952617e+06,4.0482692760896976e+06,0,6.8512782e+07,3.904535503e+09,1.6228327111388196e+06,2.57740363650245e+06,25000,4.0999e+07,,ES,Espagne
NL,1644,4.500238083e+09,2.7373710967153283e+06,4.005573670396958e+06,0,7.0136749e+07,3.456258455e+09,2.1023469920924576e+06,2.5204737442996553e+06,30000,2.9996664e+07,,NL,Pays-Bas
BE,940,2.559415171e+09,2.722782096808511e+06,4.656480561926159e+06,0,5.2351061e+07,1.872760591e+09,1.9922985010638298e+06,2.8490869658360356e+06,30000,2.9998903e+07,,BE,Belgique
SE,734,2.333054181e+09,3.178547930517711e+06,6.029833393232351e+06,0,7.4612812e+07,1.657120408e+09,2.2576572316076295e+06,3.5295586450930666e+06,30000,5.4e+07,,SE,Suède
CH,1051,2.151192547e+09,2.0468054681255948e+06,4.186178184168932e+06,0,7.272986e+07,1.642309914e+09,1.5626164738344434e+06,2.6191485522354217e+06,29955,5.4e+07,,CH,Suisse
AT,678,1.751733507e+09,2.583677738938053e+06,4.906741562428833e+06,0,8.150848e+07,1.23697755e+09,1.8244506637168142e+06,2.0977515941684167e+06,15000,1.3611916e+07,,AT,Autriche
EL,678,1.491409525e+09,2.199719063421829e+06,2.6792566401072047e+06,0,1.7017583e+07,1.121460103e+09,1.654070948377581e+06,1.8755983249443679e+06,22499,1.2973123e+07,,GR,Grèce
DK,522,1.255796508e+09,2.405740436781609e+06,3.581022088476384e+06,0,3.3340202e+07,9.31993433e+08,1.7854280325670498e+06,2.2327080423048083e+06,30000,1.9213448e+07,,DK,Danemark
FI,355,1.239318437e+09,3.4910378507042252e+06,4.855647200078017e+06,0,3.6288349e+07,8.28684985e+08,2.3343239014084507e+06,2.5083014714312204e+06,15000,1.4035206e+07,,FI,Finlande
NO,355,1.175438453e+09,3.311094233802817e+06,4.3686889137156885e+06,0,4.4564253e+07,8.15397769e+08,2.296895123943662e+06,2.3066836042753034e+06,45000,1.2983143e+07,,NO,Norvège
IE,461,9.79856721e+08,2.1255026485900218e+06,2.9365221352138645e+06,0,1.6519663e+07,7.45290928e+08,1.6166831409978308e+06,2.0651729682418061e+06,30000,1.199964e+07,,IE,Irlande
IL,792,8.0379648e+08,1.0148945454545454e+06,1.9379178319242992e+06,0,1.7169906e+07,7.032283e+08,887914.5202020202,1.3940480238592194e+06,45000,1.0529211e+07,,IL,Israël
PT,342,4.49959386e+08,1.3156707192982456e+06,1.7734405665595778e+06,0,1.0016182e+07,3.53114216e+08,1.0324977076023392e+06,1.3087049709762083e+06,24910,7.773133e+06,,PT,Portugal
PL,239,3.15320729e+08,1.3193335941422593e+06,2.406013604325768e+06,0,1.9497387e+07,2.5395826e+08,1.0625868619246862e+06,1.7697138622804254e+06,21000,1.2898332e+07,,PL,Pologne
HU,211,2.54142732e+08,1.204467924170616e+06,1.7305253211954727e+06,0,1.1543165e+07,2.02817989e+08,961222.6966824644,1.1935488681992607e+06,30000,9.618292e+06,,HU,Hongrie
CZ,122,1.36750773e+08,1.120907975409836e+06,3.5532122904117927e+06,0,3.7573987e+07,1.04690813e+08,858121.4180327869,2.4006123384375167e+06,30000,2.49998e+07,,CZ,République tchèque
SI,58,1.25541208e+08,2.1645035862068967e+06,4.109688274333288e+06,0,2.8640762e+07,8.6781915e+07,1.4962399137931035e+06,2.5784233859997448e+06,45000,1.7841239e+07,,SI,Slovénie
TR,284,1.2391374e+08,436315.9859154929,1.164520758627112e+06,0,1.1299762e+07,9.8947766e+07,348407.6267605634,758700.7172422538,15000,5.965286e+06,,TR,Turquie
LU,32,9.042477e+07,2.8257740625e+06,3.087875496804841e+06,100000,1.1392598e+07,5.9251897e+07,1.85162178125e+06,1.8823468955342646e+06,60000,7.991e+06,,LU,Luxembourg
CY,77,8.1129776e+07,1.0536334545454546e+06,1.4050064090875639e+06,45000,7.137921e+06,6.8088347e+07,884264.2467532468,1.1463555948445972e+06,23000,5.175858e+06,,CY,Chypre
EE,58,7.5595223e+07,1.3033659137931035e+06,1.3056345626264792e+06,0,6.34328e+06,6.2162292e+07,1.0717636551724137e+06,1.0670523455444677e+06,29000,6.19994e+06,,EE,Estonie
RO,62,7.212778e+07,1.1633512903225806e+06,2.467039737744117e+06,30000,1.3956301e+07,5.8275509e+07,939927.5645161291,1.8202646710669142e+06,30000,1.0893914e+07,,RO,Roumanie
HR,42,6.5481324e+07,1.559079142857143e+06,1.8632105290165984e+06,14795,7.384746e+06,5.2019242e+07,1.238553380952381e+06,1.3885488928151876e+06,14795,5.683089e+06,,HR,Croatie
IS,47,6.5447121e+07,1.3924919361702127e+06,1.8048333290743474e+06,45000,7.881442e+06,5.0877476e+07,1.0824994893617022e+06,1.364822890759556e+06,36000,5.999908e+06,,IS,Islande
RS,42,5.1678472e+07,1.2304398095238095e+06,1.382588743007965e+06,22460,7.31074e+06,4.4643704e+07,1.0629453333333333e+06,1.2418193376087104e+06,20000,6.9e+06,,RS,Serbie
SK,41,4.8170848e+07,1.174898731707317e+06,1.7683249726834306e+06,45000,7.785212e+06,3.5654287e+07,869616.756097561,1.143267221236101e+06,45000,3.498968e+06,,SK,Slovaquie
LT,28,4.4613404e+07,1.593335857142857e+06,2.655133088128241e+06,30000,1.400733e+07,3.310763e+07,1.182415357142857e+06,2.0608289863028633e+06,30000,1.0999954e+07,,LT,Lituanie
BG,48,3.7450112e+07,780210.6666666666,1.2143357490407447e+06,27885,4.541368e+06,3.3084868e+07,689268.0833333334,1.0687870846544115e+06,25000,4.053611e+06,,BG,Bulgarie
LV,29,3.0844981e+07,1.0636200344827587e+06,1.372521420559495e+06,58728,5.262038e+06,2.6661318e+07,919355.7931034482,1.1802244482891404e+06,45000,4.707491e+06,,LV,Lettonie
MT,23,2.0143314e+07,875796.2608695652,1.07266093476016e+06,49376,4.191066e+06,1.6018308e+07,696448.1739130435,885373.0365804625,28800,3.456017e+06,,MT,Malte
LI,2,1.0413929e+07,5.2069645e+06,80416.5,5.126548e+06,5.287381e+06,7.61605e+06,3.808025e+06,58025,3.75e+06,3.86605e+06,,LI,Liechtenstein
MC,1,6.814478e+06,6.814478e+06,0,6.814478e+06,6.814478e+06,4.210511e+06,4.210511e+06,0,4.210511e+06,4.210511e+06,,MC,Monaco
MK,14,6.616451e+06,472603.64285714284,756222.3680899127,16640,2.849592e+06,5.195273e+06,371090.9285714286,562426.6499260737,13000,2.135673e+06,,NULL,Ancienne République yougoslave de Macédoine
AR,13,5.953978e+06,457998.3076923077,1.1392678545157097e+06,15000,4.294358e+06,5.133915e+06,394916.53846153844,993902.5725232069,15000,3.751937e+06,,AR,Argentine
BR,4,5.600387e+06,1.40009675e+06,2.1004359758501775e+06,7500,5.017364e+06,3.510519e+06,877629.75,1.234766999237179e+06,7500,2.988219e+06,,BR,Brésil
JO,9,5.380838e+06,597870.8888888889,64361.88696295424,544499,765840,4.713994e+06,523777.1111111111,58670.21367581196,488636,682874,,JO,Jordanie
AU,2,4.687157e+06,2.3435785e+06,1.3271665e+06,1.016412e+06,3.670745e+06,3.450689e+06,1.7253445e+06,1.2690445e+06,456300,2.994389e+06,,AU,Australie
EG,10,4.295931e+06,429593.1,284398.21746855235,7500,834177,3.769918e+06,376991.8,248875.35813647768,7500,740139,,EG,Égypte
UA,17,4.102355e+06,241315,273838.7010097475,15000,702262,3.48717e+06,205127.64705882352,228697.05542149788,15000,499945,,UA,Ukraine
TN,7,4.029689e+06,575669.8571428572,268695.3636308112,15000,911166,3.253602e+06,464800.28571428574,203171.9162080051,15000,749622,,TN,Tunisie
RU,22,4.025272e+06,182966.9090909091,538996.3015058561,7500,2.12402e+06,3.51708e+06,159867.27272727274,474442.0220848124,7500,1.994891e+06,,RU,Russie
US,2,3.988162e+06,1.994081e+06,1.467456e+06,526625,3.461537e+06,2.555048e+06,1.277524e+06,900831,376693,2.178355e+06,,US,États-Unis
NZ,3,3.814616e+06,1.2715386666666667e+06,890455.5788319196,553646,2.526498e+06,2.407415e+06,802471.6666666666,448327.0422041878,472577,1.436325e+06,,NZ,Nouvelle-Zélande
ME,9,3.257739e+06,361971,536249.2817489103,37349,1.463611e+06,2.885318e+06,320590.8888888889,479378.05007216136,32000,1.305378e+06,,ME,Monténégro
KR,2,3.012898e+06,1.506449e+06,483537,1.022912e+06,1.989986e+06,1.815e+06,907500,442500,465000,1.35e+06,,KR,Corée du Sud
PS,5,2.929801e+06,585960.2,46325.47172517514,508754,636986,2.549998e+06,509999.6,36417.110327976334,454614,550515,,PS,Palestine
MX,5,2.888441e+06,577688.2,463353.44332222245,7500,996176,2.069924e+06,413984.8,344232.82558605593,7500,799000,,MX,Mexique
IN,18,2.771641e+06,153980.05555555556,575761.0077695695,7500,2.527891e+06,2.242413e+06,124578.5,454536.0975854943,7500,1.998663e+06,,IN,Inde
MD,8,2.608701e+06,326087.625,268109.2799065045,15000,735300,2.458607e+06,307325.875,258836.1174056074,15000,735300,,MD,Moldavie
MA,4,2.481946e+06,620486.5,138750.3700995064,496380,855372,2.18717e+06,546792.5,119441.47327980344,442605,749999,,MA,Maroc
ZA,4,2.337492e+06,584373,463784.44321149884,15000,1.297582e+06,1.328165e+06,332041.25,189478.39614237688,15000,500000,,ZA,Afrique du Sud
AM,6,2.232805e+06,372134.1666666667,255249.4944888345,7500,560700,2.017667e+06,336277.8333333333,229841.20524427053,7500,499957,,AM,Arménie
JP,2,2.083424e+06,1.041712e+06,429622,612090,1.471334e+06,1.749711e+06,874855.5,374855.5,500000,1.249711e+06,,JP,Japon
CM,2,1.684999e+06,842499.5,827499.5,15000,1.669999e+06,1.423012e+06,711506,696506,15000,1.408012e+06,,CM,Cameroun
CL,2,1.668345e+06,834172.5,72848.5,761324,907021,1.249426e+06,624713,125194,499519,749907,,CL,Chili
GE,3,1.641806e+06,547268.6666666666,36456.588406243136,520454,598812,1.364626e+06,454875.3333333333,42613.93740967332,397719,500000,,GE,Géorgie
