_id,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-PEOPLE,11127,5.556756247e+09,499393.9289116563,1.4270083000738167e+06,0,2.4999245e+07,4.834892755e+09,434518.98580030556,928418.7455906555,7500,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-IDEAS-ERC,4562,7.743770135e+09,1.6974507091188075e+06,967269.6860137699,0,1.5e+07,7.741440893e+09,1.69694013437089e+06,967955.0200399954,97966,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-ICT,2365,1.1222109369e+10,4.745077957293869e+06,4.511505285907848e+06,118318,7.4612812e+07,7.907111456e+09,3.34338750782241e+06,3.0483250200052815e+06,99000,5.4e+07,,FP7-ICT,"Programme spécifique ""Coopération"":  Technologies de l’information et de la communication",Technologies de l'information et de la communication
FP7-SME,1038,1.705385904e+09,1.6429536647398844e+06,574884.4784888946,378615,4.023409e+06,1.257594821e+09,1.211555704238921e+06,431509.41388171556,189308,3.1185e+06,,FP7-SME,"Programme spécifique ""Capacités"": Recherche en faveur des PME",Recherche en faveur des PME
FP7-HEALTH,1008,6.46498939e+09,6.413679950396826e+06,4.732185769576876e+06,101830,4.0876617e+07,4.791666548e+09,4.753637448412699e+06,3.407775504333e+06,100000,2.9998903e+07,,FP7-HEALTH,"Programme spécifique ""Coopération"": Santé",Santé
FP7-NMP,806,4.665500121e+09,5.788461688585608e+06,4.1834155891938074e+06,232701,4.9522358e+07,3.239296248e+09,4.0189779751861044e+06,2.5634803207511017e+06,197415,1.7989814e+07,,FP7-NMP,"Programme spécifique ""Coopération"":  Nanosciences, nanotechnologies, matériaux et nouvelles technologies de production","Nanosciences, nanotechnologies, matériaux et nouvelles technologies de production"
FP7-JTI,676,2.094095188e+09,3.097773946745562e+06,8.514436337272203e+06,30000,9.391997e+07,7.92173844e+08,1.171854798816568e+06,2.2992345330845043e+06,22499,2.5907168e+07,,FP7-JTI,"Programme spécifique ""Coopération"": Initiatives technologiques conjointes",Initiatives technologiques conjointes
FP7-TRANSPORT,635,3.386803099e+09,5.333548187401575e+06,7.778141520652842e+06,17542,6.780383e+07,2.219109723e+09,3.4946609811023623e+06,4.6595247119971765e+06,15000,4.0199771e+07,,FP7-TRANSPORT,"Programme spécifique ""Coopération"": Transports (y compris l’aéronautique)",Transports (y compris l’aéronautique)
FP7-KBBE,516,2.4991236e+09,4.843262790697674e+06,3.211638960336275e+06,66560,2.0522739e+07,1.850804916e+09,3.5868312325581396e+06,2.312076242431261e+06,60000,1.3920237e+07,,FP7-KBBE,"Programme spécifique ""Coopération"": Alimentation, agriculture et biotechnologie","Alimentation, agriculture et pêche, et biotechnologie"
FP7-ENVIRONMENT,494,2.303101481e+09,4.662148746963562e+06,3.216437444258867e+06,304897,1.69945e+07,1.719304082e+09,3.4803726356275305e+06,2.3528950964917117e+06,164908,1.2973123e+07,,FP7-ENVIRONMENT,"Programme spécifique ""Coopération"": Environnement (y compris les changements climatiques)",Environnement (y compris les changements climatiques)
FP7-ENERGY,373,3.155781071e+09,8.460539064343164e+06,1.4329998693467362e+07,176356,2.24588486e+08,1.84019268e+09,4.933492439678284e+06,4.95967046183472e+06,124005,3.5499975e+07,,FP7-ENERGY,"Programme spécifique ""Coopération"": Énergie",Énergie
FP7-INFRASTRUCTURES,341,2.319315196e+09,6.801510838709678e+06,1.2349943937459124e+07,122148,1.77677472e+08,1.528414209e+09,4.482153105571847e+06,6.467929168340448e+06,75000,9.3e+07,,FP7-INFRASTRUCTURES,"Programme spécifique ""Capacités"": Infrastructures de recherche",Infrastructures de recherche
FP7-SECURITY,321,1.88581746e+09,5.874820747663551e+06,6.477836032940306e+06,439962,4.8354957e+07,1.338101746e+09,4.168541264797508e+06,4.269765326386877e+06,150000,3.3468209e+07,,FP7-SECURITY,"Programme spécifique ""Coopération"": Sécurité",Sécurité
FP7-SPACE,267,9.94702231e+08,3.725476520599251e+06,6.136474499765069e+06,56200,5.5008475e+07,7.13287607e+08,2.6714891647940073e+06,4.5263551148060085e+06,50000,4.8e+07,,FP7-SPACE,"Programme spécifique ""Coopération"": Espace",Espace
FP7-SSH,253,7.83476171e+08,3.0967437588932808e+06,2.932095366053006e+06,199616,2.88991e+07,5.79553401e+08,2.29072490513834e+06,1.6516988717585162e+06,149618,8e+06,,FP7-SSH,"Programme spécifique ""Coopération"": Sciences socio-économiques et humaines",Sciences socio-économiques et humaines
FP7-REGPOT,206,4.44690212e+08,2.158690349514563e+06,1.4444062926462186e+06,39141,6.236754e+06,3.77734031e+08,1.8336603446601941e+06,1.2370644879375673e+06,34901,4.95392e+06,,FP7-REGPOT,"Programme spécifique ""Capacités"": Potentiel de recherche des régions de convergence",Potentiel de recherche des régions de convergence
FP7-SIS,184,3.59331866e+08,1.9528905760869565e+06,1.6122406432785299e+06,66000,8.161949e+06,2.88996483e+08,1.5706330597826086e+06,1.340112010284662e+06,55000,6.942031e+06,,FP7-SIS,"Programme spécifique ""Capacités"": La science dans la société",La science dans la société
FP7-INCO,157,2.36193827e+08,1.504419280254777e+06,2.618167008908013e+06,109700,3.1154999e+07,1.73417279e+08,1.1045686560509554e+06,965861.5210344343,100000,4.199999e+06,,FP7-INCO,"Programme spécifique ""Capacités"": Coopération internationale",Coopération internationale
FP7-EURATOM-FISSION,136,6.58822694e+08,4.844284514705882e+06,5.255761254343237e+06,25000,3.9588707e+07,3.53919816e+08,2.602351588235294e+06,2.2417222973841336e+06,25000,1.2999999e+07,,FP7-EURATOM-FISSION,EURATOM: Fission nucléaire et radioprotection,Fission nucléaire et radioprotection
FP7-REGIONS,84,1.45600629e+08,1.7333408214285714e+06,1.0467301304929394e+06,189840,3.585941e+06,1.26689321e+08,1.5082062023809524e+06,918231.9465847289,169924,2.949032e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-COH,28,3.6650659e+07,1.308952107142857e+06,1.92385376109669e+06,187500,7.072114e+06,2.9221788e+07,1.0436352857142857e+06,1.4473823582796648e+06,150000,5.35928e+06,,FP7-COH,"Programme spécifique ""Capacités"": Soutien au développement cohérent des politiques de recherche",Soutien au développement cohérent des politiques de recherche
FP7-GA,26,4.3850002e+08,1.6865385384615384e+07,5.430200707748921e+07,107754,2.80086352e+08,3.12687979e+08,1.202646073076923e+07,4.7774182399791084e+07,95186,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
FP7-EURATOM-FUSION,4,7.024057e+06,1.75601425e+06,1.1591753653973965e+06,306492,3.234875e+06,5.248981e+06,1.31224525e+06,773380.026806154,250000,2.099896e+06,,FP7-EURATOM-FUSION,EURATOM: Recherche sur l'énergie de fusion,Énergie de fusion
