_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-PEOPLE,2014,6327,4.21467644e+09,666141.3687371582,1.7619871009610635e+06,11250,2.4999245e+07,3.469046983e+09,548292.5530267109,1.0818005011814106e+06,11250,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-PEOPLE,2013,6220,3.97072642e+09,638380.4533762058,1.5562874459792073e+06,0,2.4999245e+07,3.419624213e+09,549778.8123794212,1.0712374114444752e+06,11250,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-PEOPLE,2012,5530,3.090860575e+09,558925.9629294756,1.4299004438185268e+06,0,2.4999245e+07,2.709735193e+09,490006.3640144665,1.0061833007624572e+06,11250,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-PEOPLE,2015,5058,3.676768912e+09,726921.4930802688,1.9012090198666104e+06,11250,2.4999245e+07,2.990045489e+09,591151.7376433373,1.1397134935387261e+06,11250,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-PEOPLE,2011,4710,2.136630951e+09,453637.14458598726,1.1698357959236472e+06,0,1.249971e+07,1.970731961e+09,418414.4290870488,890319.5406313227,7500,6.205912e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-IDEAS-ERC,2014,4120,7.222244766e+09,1.7529720305825244e+06,959854.0635759969,0,1.5e+07,7.221848235e+09,1.7528757851941749e+06,960136.9470252361,97966,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-IDEAS-ERC,2015,3712,6.672438446e+09,1.7975319089439656e+06,988918.6093342779,0,1.5e+07,6.672983536e+09,1.7976787543103448e+06,988891.8219515987,97966,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-IDEAS-ERC,2013,3658,6.060883025e+09,1.6568843698742483e+06,836172.9662145049,0,1.5e+07,6.059580678e+09,1.6565283428102788e+06,836637.3142485423,98926,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-PEOPLE,2010,3657,1.462909545e+09,400029.95488105004,1.0451195462330008e+06,0,1.249971e+07,1.413156035e+09,386424.9480448455,837493.4896610279,7500,6.205912e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-PEOPLE,2016,3353,2.797119144e+09,834213.8813003281,2.1697830638141525e+06,15000,2.4999245e+07,2.210374475e+09,659222.9272293468,1.239057817241883e+06,15000,9.999698e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-IDEAS-ERC,2016,3122,5.793406821e+09,1.855671627482383e+06,1.0288516103129018e+06,149490,1.5e+07,5.793280075e+09,1.855631029788597e+06,1.0289166055080686e+06,139140,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-IDEAS-ERC,2012,2851,4.576184554e+09,1.605115592423711e+06,601213.128242644,0,3.499799e+06,4.575524777e+09,1.604884172921782e+06,601447.2569787923,98926,3.499799e+06,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-PEOPLE,2009,2282,9.46841261e+08,414917.2922874671,1.0588188509962268e+06,0,1.2460326e+07,9.50780067e+08,416643.32471516216,895798.2283565716,7500,6.205912e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-IDEAS-ERC,2017,2237,4.32976421e+09,1.935522668752794e+06,1.15648411019393e+06,481087,1.5e+07,4.329764209e+09,1.9355226683057665e+06,1.1564841102701237e+06,481087,1.5e+07,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
FP7-IDEAS-ERC,2011,1987,3.183799837e+09,1.602314965777554e+06,581467.3043935022,0,3.499127e+06,3.184006159e+09,1.6024188017111223e+06,580730.4491398674,156538,3.499127e+06,,FP7-IDEAS-ERC,"Programme spécifique ""Idées"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Idées"""
