_id,value
follow,"[0.032640630747051855,0.0018646673457446278,-0.005891113638878003,-0.00021197305429243064,0.005621144548863243,0.00013792530389858756,-0.003885753456845992,-0.0022617606663526057,-0.004273305407606771,0.0006739978235100912,0.006403938910317847,0.0019451093067560964,-0.0013041163679795636,0.005626130473307405,0.0013894229448331574,-0.00122398001313378,-0.0030729388020003428,0.005160168577600958,-0.01357959197842833,0.003212109085125452,-0.013125594227189268,-0.009146230927995682,-0.0003517759404956895,0.007398989617102171,0.01741828685877199,-0.004820277266826529,0.006840594528286236,0.0019980814688665407,0.0010849373906453496,-0.0043810556769209984]"
establish,"[0.04069199049071019,0.00243497052047182,-0.013839243695101398,0.020936616543690258,0.013817918974849616,0.014627225385581347,-0.0014657956885494605,0.008382393447846241,0.011679797926484237,0.01199352875417872,-0.003157410394123792,-0.0031430011854121625,0.0038822100082440804,-0.003173823573926059,0.01943953702921978,-0.0151988587854451,-0.031319402972966405,-0.008893316534169094,0.011618967951893686,0.006410795938566518,0.012271445736341426,0.006687617089783129,-0.007896280877446269,-0.003221821851012877,0.012588623113177107,-0.004435027793723607,-0.0005239595514552713,-0.0015075665877531319,0.00405780568395279,0.0004004811117699885]"
demand,"[0.026341345310281785,-0.025103862883413798,-0.0024547662687646444,-0.03612720950329056,0.010921486779503446,-0.020967686174072762,0.017944174957721166,-0.0057582986555912916,0.000479640225016573,0.0056325675257769756,0.015659127136296434,-0.008374914155888882,0.008654191664936296,0.0009583399493027795,-0.011632625967901197,0.011924027050870017,0.0008043148247609821,-0.013317756692269088,0.004954776364180027,-0.011426562854860128,0.008495098137290975,-0.0035431588502930073,0.00695077601602264,-0.011314190827135166,-0.024924870175723847,-0.0017094732187468605,0.010123823868014704,0.01800449284113912,-0.009991379927189067,0.0005958077069571337]"
growth,"[0.03494665043077925,0.027733627562618674,-0.009850925310874364,-0.007431691212930858,0.00573958308274207,-0.0015868506554523668,0.04553020293147317,-0.014259571142694487,-0.022304511054896597,0.00767267170236291,0.013106050516840051,0.01595821187977503,-0.011729111137326914,-0.02368715595992224,0.01293752883834709,-0.04417571623752806,0.01987888429189438,0.025949073957850052,0.04558897272597409,-0.012689495394496528,-0.01663426644692026,-0.01574495040236961,0.002191607021399443,-0.011795645319903784,0.01722739323101563,0.010975754440146132,-0.021594889963250707,0.03982025840175104,-0.0030584150811082053,0.01259587760649413]"
carry,"[0.02741500494753511,-0.004303900923236627,-0.0013795087551878166,0.002121048324418907,-0.0025253755186010404,0.014478804186739712,0.0012643818620504876,0.008024721709404709,-0.0019733936476219703,-0.003095949451410382,0.001674928983485955,-0.002108230867842786,-0.004587906251009357,-0.0025129289724908346,-0.0017554922077452177,-0.00482298798457899,-0.0074959980577989985,0.008739314800100683,-0.0012297229528617998,0.005910472710127256,-0.0035314921589559897,0.00881832133029596,0.0005354837044721852,0.022683899220010496,0.010255815746056517,0.0017484032971327793,0.0010972440214119623,0.009168637973510385,0.005753145179800557,-0.011624927088979817]"
development,"[0.07369110509503492,-0.008261469233841825,-0.01968288054054846,-0.014453451811639208,0.03627177183502582,0.008953016676166464,-0.0030125616757673136,0.020358209513259565,0.005074464286551726,0.004623017242096839,0.013965082821280995,0.01022239448956956,-0.007040500549989259,-0.007021625002808743,0.024029262121569854,-0.03015917052897047,-0.02908622017290887,-0.005015223479028311,0.004149448063441863,0.04201882022260813,0.0006297760548789055,-0.014698718878897147,-0.001227302620316579,0.014516308273055657,-0.02835793049584387,0.0042159902304326514,-0.010580575199180783,0.010311701690429664,-0.006939485005990755,-0.0015625784104271595]"
gap,"[0.022339156750088743,-0.013137021175080369,-0.007597679815349031,0.007745940719419735,-0.0046486165757997425,-0.002868673359672882,0.00015641176053353715,-0.0028305676096368067,-0.004783895865518037,-0.009995160194071623,0.0007126501935057743,0.0012373423976128634,-0.010254941746519369,-0.00250628363515824,0.006668462678010085,-0.005128460330512579,-0.003555961434498026,0.003550045537142146,-0.0026912367079566756,0.006311285078406375,-0.004865995215461703,0.0032758286414780657,-0.004836966666603846,-0.0034099505325795787,0.0050677240344245995,-0.007561342564601305,0.0015128084039572644,-0.0075809449358411555,-0.011687770103287828,-0.0022726713942792572]"
mediate,"[0.013331331600958021,0.03301593812776617,-0.005271388437671453,0.008186002448917555,-0.005179174866609803,0.00031044008617257986,0.00977683421066765,-0.007462936696083592,0.019380637805300235,-0.002632844549736439,0.0055474317592256565,0.0023592859062484665,0.001721068788469532,0.021290233096144695,-0.0021510920544193964,0.0018068967465479976,-0.007430774201859477,-0.0045879998153240875,0.010554563266303132,-0.003189630304354549,-0.011829404831418701,-0.015837120599444688,-0.005825310666635599,-0.0029645506056912045,0.0007235136220698274,-0.0024142767196902847,0.004466781476516118,0.018611847643813947,0.0020097427309210807,-0.005656175407319643]"
therefore,"[0.03342684417662356,0.012639758085399574,-0.0008577795683228275,-0.010000287502900388,-0.0028962361496452354,-0.0015049049253583586,0.0020188136487339133,0.011105258476128702,-0.009880110145037946,-0.0006167446000861845,0.004091898137493943,0.001690703428829387,-0.00041780588134624104,0.007077114407258895,0.0015224266874706216,0.0028986972401971564,0.0035210206888475204,1.8295864026622154e-05,-0.0035596515660613294,0.0014436881572318268,-0.007373505792303753,-0.009324612694062089,-0.0014284587157665683,0.0039656648715429635,-0.00026687607350090944,-0.007682275022820104,0.007975914600737509,0.012486000223818197,0.009541462380494883,-0.016269811093008717]"
advance,"[0.03507906839493138,-0.0011523106318963795,0.00754033669239614,0.004103068308832603,-0.010742530325911721,0.004892988247335432,-0.01615942576071496,0.004167065801865611,-0.00752693767456405,0.007350210994863828,-0.013069988013034165,0.0018006473869597267,-0.0012335179473150137,-0.004954597966272314,0.0034674166846088003,-0.002161476963476702,-0.001783209350598114,-0.0016768436059686328,0.007864622343016336,0.011087304292151726,0.007838471381677103,0.012504453292590261,-0.001409567732950397,-0.013016713580983842,-0.02906591004265556,0.014400844342856173,-0.0049601922974750814,-0.008892217218974994,-0.011908329950105953,0.0011060083759023651]"
