_id,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,subjectCode.Group,subjectCode.Code,subjectCode.Title
SCI,10963,1.631899871e+10,1.488552285870656e+06,4.016001144241005e+06,0,2.24588486e+08,1.2224979908e+10,1.1151126432545837e+06,1.9692068711606718e+06,7500,4.18e+07,RTD Horizontal Topics,SCI,SCIENTIFIC RESEARCH
LIF,3127,5.828249899e+09,1.8638471055324592e+06,3.413932748108183e+06,7500,3.9560968e+07,4.587946405e+09,1.4672038391429486e+06,2.393338942408773e+06,7500,2.9998903e+07,Biological Sciences,LIF,LIFE SCIENCES
MED,1262,5.212385535e+09,4.1302579516640254e+06,4.139788611224941e+06,134580,4.0876617e+07,4.13956866e+09,3.2801653407290014e+06,2.8945514119697763e+06,120000,2.9996664e+07,Biological Sciences,MED,MEDICINE HEALTH
BIO,1764,3.944468075e+09,2.2360930130385486e+06,1.6407489781354335e+06,300380,1.6211687e+07,3.635597791e+09,2.0609964801587302e+06,1.1365389194310787e+06,300380,1.1999889e+07,Biological Sciences,BIO,BIOTECHNOLOGY
ENV,963,3.875623931e+09,4.024531600207684e+06,4.195808361266226e+06,49860,5.4124136e+07,2.921784327e+09,3.034043953271028e+06,2.6253665591812427e+06,37395,2.969793e+07,Protecting Man and his Environment,ENV,ENVIRONMENTAL PROTECTION
IPS,686,3.493062303e+09,5.091927555393586e+06,4.926990908292467e+06,235560,7.0136749e+07,2.401942299e+09,3.501373613702624e+06,2.875033155930926e+06,210000,2.5e+07,Industry and Technology,IPS,INFORMATION PROCESSING  INFORMATION SYSTEMS
ELM,676,3.437114324e+09,5.084488644970414e+06,4.448638865241033e+06,132002,2.8414646e+07,2.380341683e+09,3.52121550739645e+06,2.8874861584376916e+06,99000,1.896976e+07,Industry and Technology,ELM,ELECTRONICS MICROELECTRONICS
ICT,732,3.249392371e+09,4.439060616120218e+06,3.769971785335226e+06,260000,2.7538372e+07,2.273899756e+09,3.106420431693989e+06,2.325630289539262e+06,130000,1.6998662e+07,Industry and Technology,ICT,ICT APPLICATIONS
TEL,607,2.990164479e+09,4.926135879736409e+06,4.151059165926942e+06,235560,2.7538372e+07,2.080467361e+09,3.4274585848434926e+06,2.7229717217072076e+06,210000,1.896976e+07,Industry and Technology,TEL,TELECOMMUNICATIONS
SOC,1619,2.980099313e+09,1.8407037140210005e+06,2.1914433672887115e+06,11250,2.88991e+07,2.451102113e+09,1.5139605392217417e+06,1.424488855465355e+06,11250,1.2e+07,Social and Economic Concerns,SOC,SOCIAL ASPECTS
IND,944,2.711507093e+09,2.8723592086864407e+06,4.0567073338078717e+06,0,6.5117504e+07,2.082888549e+09,2.2064497341101696e+06,2.3284104203914315e+06,29955,4.0199771e+07,Industry and Technology,IND,INDUSTRIAL MANUFACTURE
TRA,470,2.473257855e+09,5.262250755319149e+06,8.068742859891319e+06,18987,8.1956227e+07,1.580781173e+09,3.36336419787234e+06,4.454236880804831e+06,15000,3.9980815e+07,Industry and Technology,TRA,TRANSPORT
MBI,440,2.009991579e+09,4.568162679545455e+06,4.467883953530554e+06,334018,2.1899739e+07,1.566704414e+09,3.56069185e+06,3.1408118822373045e+06,300000,1.2e+07,Biological Sciences,MBI,MEDICAL BIOTECHNOLOGY
ESV,256,1.950537957e+09,7.61928889453125e+06,9.505493521898258e+06,348602,6.2802255e+07,1.230894735e+09,4.80818255859375e+06,5.209189812597533e+06,261451,3.5499975e+07,Energy,ESV,ENERGY SAVING
EDU,2957,1.82722887e+09,617933.3344606019,1.291796684260529e+06,0,1.6563683e+07,1.729090116e+09,584744.7128846804,1.1422750339014728e+06,13000,1.2163911e+07,Social and Economic Concerns,EDU,EDUCATION TRAINING
ITT,1291,1.790063722e+09,1.386571434546863e+06,3.6093186802861486e+06,15000,6.4865124e+07,1.300567409e+09,1.007410851278079e+06,2.0767363430778403e+06,15000,3.2e+07,RTD Horizontal Topics,ITT,INNOVATION  TECHNOLOGY TRANSFER
NNT,329,1.745897603e+09,5.3066796443769e+06,3.7924565037737195e+06,180000,2.7165529e+07,1.234562243e+09,3.752468823708207e+06,2.5380798645209516e+06,124800,1.7989814e+07,Industry and Technology,NNT,NANOTECHNOLOGY AND NANOSCIENCES
NET,837,1.623476692e+09,1.939637624850657e+06,3.500771627062579e+06,69714,5.2263339e+07,1.165744969e+09,1.3927657933094385e+06,2.155878867182506e+06,69714,2.5552508e+07,Industry and Technology,NET,NETWORK TECHNOLOGIES
ECO,655,1.575398984e+09,2.4051892885496183e+06,1.1003585975338493e+07,156538,2.80086352e+08,1.185795689e+09,1.8103750977099237e+06,9.763663413291184e+06,156538,2.5e+08,Social and Economic Concerns,ECO,ECONOMIC ASPECTS
COO,1496,1.326552245e+09,886732.7840909091,2.725173686312507e+06,0,6.4865124e+07,8.83639887e+08,590668.3736631016,1.2472052801159157e+06,7500,2.1e+07,RTD Horizontal Topics,COO,COORDINATION COOPERATION
EST,173,1.286438988e+09,7.436063514450867e+06,9.180409462280354e+06,172635,6.2802255e+07,8.27341526e+08,4.782320959537572e+06,5.1284907896765405e+06,125300,3.5499975e+07,Energy,EST,ENERGY STORAGE ENERGY TRANSPORT
SEC,262,1.250770859e+09,4.773934576335878e+06,5.232747639449298e+06,439962,4.3434221e+07,8.78216222e+08,3.3519703129770993e+06,3.3958708017344465e+06,150000,2.7847579e+07,Social and Economic Concerns,SEC,SECURITY
REG,510,1.108105361e+09,2.1727556098039215e+06,1.9805165507144558e+06,0,1.249971e+07,7.85758952e+08,1.5407038274509804e+06,1.0939467327829064e+06,150000,6.982429e+06,Social and Economic Concerns,REG,REGIONAL DEVELOPMENT
AER,276,1.068890549e+09,3.8727918442028984e+06,7.113363609174799e+06,18987,6.5117504e+07,7.88021338e+08,2.855149775362319e+06,4.271097695551319e+06,15000,4.0199771e+07,Industry and Technology,AER,AEROSPACE TECHNOLOGY
MAT,231,9.67521286e+08,4.1884038354978357e+06,4.905352519709744e+06,95658,5.4124136e+07,6.47947888e+08,2.804969212121212e+06,2.928540959163649e+06,68455,2.969793e+07,Industry and Technology,MAT,MATERIALS TECHNOLOGY
SAF,139,9.56370166e+08,6.88036090647482e+06,8.345142477905543e+06,149420,4.8354957e+07,5.41049517e+08,3.8924425683453237e+06,4.4113038267439455e+06,112065,3.3468209e+07,Protecting Man and his Environment,SAF,SAFETY
AGR,180,8.99482183e+08,4.997123238888889e+06,3.376832875922849e+06,66560,1.3006815e+07,6.58601532e+08,3.6588974e+06,2.4396714665622883e+06,60000,8.999828e+06,Agriculture and Marine Resources and Products,AGR,AGRICULTURE
