_id,value
,52
AAT-2007-1.1-01,2
AAT-2007-1.1-02,1
AAT-2007-1.1-03,4
AAT-2007-1.1-04,1
AAT-2007-1.4.01,1
AAT-2007-2.1-01,2
AAT-2007-2.2-02,1
AAT-2007-3.1-02,2
AAT-2007-3.2-02,1
AAT-2007-3.3-02,6
AAT-2007-3.3-04,2
AAT-2007-3.4-02,2
AAT-2007-3.5-01,1
AAT-2007-3.5-02,1
AAT-2007-4.1-01,5
AAT-2007-4.1-03,1
AAT-2007-4.1-05,3
AAT-2007-4.2-01,2
AAT-2007-4.2-03,1
AAT-2007-4.2-04,1
AAT-2007-4.2-06,2
AAT-2007-4.3-03,1
AAT-2007-4.4-01,1
AAT-2007-5.1-01,1
AAT-2007-6.1-02,2
AAT-2007-6.1-04,1
AAT-2007-6.2-01,1
AAT-2007-6.2-02,1
AAT-2007-7.0-04,1
AAT-2007-7.0-05,1
AAT-2007-7.0-06,2
AAT-2007-7.0-07,1
AAT.2008.1.1.1.,4
AAT.2008.1.1.2.,2
AAT.2008.1.1.3.,3
AAT.2008.1.1.4.,3
AAT.2008.1.1.5.,1
AAT.2008.1.2.2.,1
AAT.2008.1.3.1.,1
AAT.2008.1.3.2.,1
AAT.2008.1.4.1.,1
AAT.2008.2.2.2.,1
AAT.2008.2.3.2.,1
AAT.2008.3.1.1.,1
AAT.2008.3.1.3.,1
AAT.2008.3.2.1.,1
AAT.2008.3.2.2.,1
AAT.2008.3.3.2.,2
AAT.2008.3.3.4.,1
AAT.2008.3.4.1.,1
AAT.2008.3.4.5.,1
AAT.2008.4.1.1.,5
AAT.2008.4.1.2.,2
AAT.2008.4.1.4.,2
AAT.2008.4.1.5.,4
AAT.2008.4.2.3.,1
AAT.2008.4.2.4.,2
AAT.2008.4.2.5.,1
AAT.2008.4.2.6.,1
AAT.2008.4.4.1.,1
AAT.2008.4.4.2,1
AAT.2008.5.2.2.,1
AAT.2008.5.2.3.,1
AAT.2008.6.1.1.,1
AAT.2008.6.2.1.,1
AAT.2008.6.2.2.,1
AAT.2008.6.3.3.,1
AAT.2008.7.0.1,1
AAT.2008.7.0.10.,1
AAT.2008.7.0.2.,1
AAT.2008.7.0.3.,1
AAT.2008.7.0.6.,3
AAT.2008.7.0.7.,2
AAT.2008.7.0.8.,1
AAT.2008.7.0.9.,2
AAT.2010.1.1-1.,6
AAT.2010.1.1-2.,7
AAT.2010.1.1-3.,8
AAT.2010.1.1-4.,1
AAT.2010.1.1-7.,1
AAT.2010.1.2-1.,1
AAT.2010.1.3-2.,1
AAT.2010.1.3-3.,1
AAT.2010.3.3-1.,1
AAT.2010.3.3-2.,1
AAT.2010.3.3-3.,1
